"h_public","h_partic","data","alert_tx_max_ocup"
"82.25%","46.66%","20/05/2020","80%"
"79.03%","42.22%","21/05/2020","80%"
"72.58%","40.00%","22/05/2020","80%"
"77.41%","42.22%","23/05/2020","80%"
"75.80%","35.55%","24/05/2020","80%"
"82.25%","35.55%","25/05/2020","80%"
"85.48%","44.44%","26/05/2020","80%"
"85.48%","46.66%","27/05/2020","80%"
"79.03%","42.22%","28/05/2020","80%"
"80.64%","42.22%","29/05/2020","80%"
"79.03%","28.88%","30/05/2020","80%"
"77.41%","28.88%","31/05/2020","80%"
"61.03%","35.55%","01/06/2020","80%"
"70.27%","31.11%","02/06/2020","80%"
"72.97%","31.11%","03/06/2020","80%"
"81.08%","31.11%","04/06/2020","80%"
"75.94%","37.77%","05/06/2020","80%"
"81.01%","33.33%","06/06/2020","80%"
"79.74%","33.33%","07/06/2020","80%"
"84.81%","48.88%","08/06/2020","80%"
"84.81%","35.35%","09/06/2020","80%"
"79.74%","40.00%","10/06/2020","80%"
"79.74%","44.44%","11/06/2020","80%"
"87.34%","40.00%","12/06/2020","80%"
"84.81%","55.55%","13/06/2020","80%"
"86.07%","53.33%","14/06/2020","80%"
"84.81%","62.50%","15/06/2020","80%"
"84.81%","67.50%","16/06/2020","80%"
"86.07%","75.00%","17/06/2020","80%"
"82.72%","64.98%","18/06/2020","80%"
"86.66%","78.88%","19/06/2020","80%"
"80.83%","77.77%","20/06/2020","80%"
"83.33%","88.88%","21/06/2020","80%"
"81.66%","83.88%","22/06/2020","80%"
"77.50%","72.22%","23/06/2020","80%"
"88.33%","77.22%","24/06/2020","80%"
"84.64%","73.33%","25/06/2020","80%"
"74.10%","77.22‬%","26/06/2020","80%"
"88.09%","75.00%","27/06/2020","80%"
"85.35%","65.30%","28/06/2020","80%"
"81.07%","75.85%","29/06/2020","80%"
"84.82‬%","67.73%","30/06/2020","80%"
"84.46‬%","69.60%","01/07/2020","80%"
"68.51%","67.22%","02/07/2020","80%"
"60.89%","69.82%","03/07/2020","80%"
"78.80%","59.82%","04/07/2020","80%"
"71.18%","64.74%","05/07/2020","80%"
"89.82%","66.41%","06/07/2020","80%"
"91.78%","65.17%","07/07/2020","80%"
"80.95%","57.94%","08/07/2020","80%"
"92.32%","54.27%","09/07/2020","80%"
"85.95%","61.06%","10/07/2020","80%"
"84.07%","66.96%","11/07/2020","80%"
"92.32%","70.64%","12/07/2020","80%"
"83.45%","78.18%","13/07/2020","80%"
"92.14%","81.87%","14/07/2020","80%"
"94.19%","81.53%","15/07/2020","80%"
"74.22%","70.30%","16/07/2020","80%"
"75.17%","74.44%","17/07/2020","80%"
"72.32%","69.44%","18/07/2020","80%"
"78.36%","64.44%","19/07/2020","80%"
"78.09%","80.00%","20/07/2020","80%"
"88.21%","78.89%","21/07/2020","80%"
"79.16%","76.11%","22/07/2020","80%"
"80.00%","80.00%","23/07/2020","80%"
"68.12%","80.00%","24/07/2020","80%"
"74.99%","80.00%","25/07/2020","80%"
"83.54%","80.55%","26/07/2020","80%"
"82.08%","88.33%","27/07/2020","80%"
"79.37%","87.77%","28/07/2020","80%"
"69.79%","83.33%","29/07/2020","80%"
"75.83%","80.00%","30/07/2020","80%"
"73.75%","81.41%","31/07/2020","80%"
"75.02%","67.22%","01/08/2020","80%"
"67.32%","70.00%","02/08/2020","80%"
"67.50%","84.44%","03/08/2020","80%"
"62.24%","86.11%","04/08/2020","80%"
"65.95%","86.66%","05/08/2020","80%"
"65.89%","68.88%","06/08/2020","80%"
"70.62%","67.78%","07/08/2020","80%"
"70.09%","55.00%","08/08/2020","80%"
"69.31%","59.44%","09/08/2020","80%"
"78.18%","69.57%","10/08/2020","80%"
"73.36%","62.22%","11/08/2020","80%"
"69.46%","52.77%","12/08/2020","80%"
"65.44%","52.22%","13/08/2020","80%"
"80.65%","64.58%","14/08/2020","80%"
"79.82%","61.66%","15/08/2020","80%"
"81.63%","60.55%","16/08/2020","80%"
"69.61%","59.44%","17/08/2020","80%"
"68.78%","61.11%","18/08/2020","80%"
"66.60%","58.89%","19/08/2020","80%"
"83.72%","55.97%","20/08/2020","80%"
"83.60%","63.33%","21/08/2020","80%"
"86.93%","57.77%","22/08/2020","80%"
"80.44%","61.22%","23/08/2020","80%"
"70.41%","55.55%","24/08/2020","80%"
"70.50%","45.89%","25/08/2020","80%"
"66.93%","53.33%","26/08/2020","80%"
"75.86%","42.77%","27/08/2020","80%"
"70.92%","38.89%","28/08/2020","80%"
"67.94%","37.22%","29/08/2020","80%"
"64.76%","39.44%","30/08/2020","80%"
"70.89%","42.22%","31/08/2020","80%"
"69.82%","31.11%","01/09/2020","80%"
"74.70%","32.77%","02/09/2020","80%"
"69.34%","31.66%","03/09/2020","80%"
"69.58%","31.66%","04/09/2020","80%"
"67.50%","31.11%","05/09/2020","80%"
"63.39%","38.88%","06/09/2020","80%"
"57.88%","34.99%","07/09/2020","80%"
"52.73%","31.11%","08/09/2020","80%"
"53.09%","40.55%","09/09/2020","80%"
"46.60%","33.88%","10/09/2020","80%"
"50.56%","37.22%","11/09/2020","80%"
"52.61%","38.33%","12/09/2020","80%"
"48.30%","38.33%","13/09/2020","80%"
"51.93%","36.11%","14/09/2020","80%"
"54.52%","28.33%","15/09/2020","80%"
"54.07%","35.55%","16/09/2020","80%"
"42.67%","33.33%","17/09/2020","80%"
"40.65%","32.22%","18/09/2020","80%"
"42.41%","36.66%","19/09/2020","80%"
"44.28%","36.66%","20/09/2020","80%"
"47.47%","37.33%","21/09/2020","80%"
"48.57%","37.22%","22/09/2020","80%"
"60.59%","44.44%","23/09/2020","80%"
"59.13%","46.66%","24/09/2020","80%"
"62.79%","46.66%","25/09/2020","80%"
"59.37%","54.44%","26/09/2020","80%"
"61.04%","44.44%","27/09/2020","80%"
"69.62%","37.77%","28/09/2020","80%"
"63.18%","45.55%","29/09/2020","80%"
"71.30%","47.77%","30/09/2020","80%"
"54.26%","47.77%","01/10/2020","80%"
"60.05%","37.77%","02/10/2020","80%"
"60.05%","43.33%","03/10/2020","80%"
"59.43%","45.55%","04/10/2020","80%"
"58.80%","38.89%","05/10/2020","80%"
"57.55%","36.66%","06/10/2020","80%"
"55.68%","34.44%","07/10/2020","80%"
"46.19%","56.66%","08/10/2020","80%"
"45.56%","43,33%","09/10/2020","80%"
"66.59%","44.44%","10/10/2020","80%"
"65.45%","38.89%","11/10/2020","80%"
"78.40%","42.22%","12/10/2020","80%"
"80.07%","53.33%","13/10/2020","80%"
"75.68%","45.55%","14/10/2020","80%"
"73.40%","56.66%","15/10/2020","80%"
"73.40%","58.89%","16/10/2020","80%"
"70.07%","48.89%","17/10/2020","80%"
"75.33%","54.44%","18/10/2020","80%"
"64.00%","54.44%","19/10/2020","80%"
"69.01%","58.89%","20/10/2020","80%"
"70.26%","57.78%","21/10/2020","80%"
"64.54%","52.22%","22/10/2020","80%"
"61.21%","26.66%","23/10/2020","80%"
"71.21%","32.22%","24/10/2020","80%"
"68.71%","40.00%","25/10/2020","80%"
"42.42%","55.55%","26/10/2020","80%"
"49.31%","64.44%","27/10/2020","80%"
"57.04%","66.66%","28/10/2020","80%"
"64.77%","60.00%","29/10/2020","80%"
